reassuring		令人放心的
herring		鲱鱼
amenity		便利设施.
manatee		热带海牛
outrageous	反常的, 令人惊讶的, 哈人的(out-rageous, 超出盛怒, 词义弱化为反常.)
cliche		[法]陈词滥调.
cranky		古怪的脾气坏的
corny		陈词滥调的(玉米的)
dubious		可疑的
ferment		发酵.
obol		古希腊银币, 欧宝.
linen		亚麻.
pedantic		迂腐的
snob		自命高雅的人, 势利小人
cove		小海湾
forte		特长.
ecstatic		欣喜若狂
trajectory		轨迹.
je ne sais quoi	妙不可言, "i don't know what". "There’s a little je ne sais quoi to her style that makes her stand out."
franchise		特许经销权.
swindle		诈骗
raccoon		浣熊.
cheeky		厚脸皮的
blatant		明目张胆的.
poach		水煮
turnip		芜菁. 国外的一种carrot
queasy		恶心的.
citrus		柑橘
rascal		捣蛋鬼
alpine		阿尔卑斯山.
























































































