riff-raff		流氓乌合之众不三不四的人；(riff-即兴演奏;raff=riffraff)
wedge		楔子，也特指emotional的情感裂隙。
for her sake if not for mine.	为了她，而不是我。
wax&wane	月亮充盈/缺损，形容月有阴晴圆缺。as the day waxed past the bright noon
pluck		n.勇气，内脏；v.摘，拉，弹奏。(plu-拔。plug插头)I magically plucked each string of the lyre in practiced precision.
chatter		唠叨；牙齿打颤。(chat->chatter)
tele-kinesis	隔空取物。(tele，远的；kinesis，运动)
psycho - kinesis	念力取物
PIE		Proto-Indo-European,原始印欧语
boutique		女士时装店
whimsy		古怪风。(拟风声词)
whimsical		异想天开的，古怪的
avid		渴望的。Rarity said with avid admiration. 
tantrum		勃然大怒。(太/蠢。)
dis-traught	心烦意乱，发狂(distract分心--caught被抓住，分心，发狂)
re-assure		宽慰，使安心。
eatery		餐馆
chara-de		字谜把戏。chara-，字词。chara-cter，字母
outrageous	(过分的，粗暴的，令人无法忍受的)夸张的。outrageous jokes
antics		滑稽动作。ante-，表示"前".本身也是一个单词，预付款，赌注。antics“古”怪。
flank		侧面。马的屁股。
usher		引领,引座,接待。Derpy pointed Pinkie Pie's way and patted Dinky's flank, ushering the foal to go and have fun with Pinkie。
slump		下降，俯下身子。弯着身子坐。
peri-pher-al	外围的，边缘的。in my peripheral vision，在我的视线边缘。
peri-pher-y	n.边缘.peri-在周围；pher-带来。pheromone，信息素，费洛蒙。
length		(长度)过道走廊
linger		逗留
senile		衰老的。senility，衰老。(seni-老。senior，上级，长辈)
curtsey		女子屈膝礼。cur-，弯。
holler		大喊，发牢骚。来自hello的变体。Enjoy your time at Sugarcube Corner! Just holler if you need anything else, dearie!
revel		狂欢，陶醉，闹饮。来自reber，造反狂欢。I sipped slowly from the tea, reveling in the warmth as it drove the shivers away. 
scarf down	狼吞虎咽吃完
gulm		闷闷不乐，阴沉
hoist		提起。I hoisted my saddlebag and trotted over towards her table.
lethargic		昏沉的，无精打采的。lethargy，n.昏睡。lethal，致命的。可能来源于lethe，冥河。
flute		长笛。词源不确定。可能为拟声词bl, fl, 吹，鼓起，词源同blow, flatulent.		
wince		逃避；皱眉头。"畏/死" Derpy openly winced。小呆苦笑。
waver		摇摆。wave
squirm grip nuzzle	扭动，紧握紧抱，用鼻子依偎。Dinky giggled and squirmed in Derpy's grip while her mother gently nuzzled her.
shudder		发抖。shiver。
jolt		摇晃，颠簸。her body jolted in surprise.
tug		拉，挣扎。I shuddered and tugged at the edge of my sweaterjacket's sleeves.
advent		到来。
lull		使镇静。这是一个拟声词/lʌl/，妈妈哄小孩啦啦啦。
lavender		薰衣草，淡紫色。the lavender unicorn. violet是更深一点的颜色,her violet bangs.
dimple		泛起涟漪；酒窝。(dip，浸没。引申为小洞。)She blinked wide then smiled, her small dimples showing.
tardy		缓慢地，迟到
Dig the swell hoodie!帽衫够帅的！
strum		漫不经心地弹奏,轻轻弹奏.I closed my eyes and concentrated, telekinetically strumming each string in succession. 
in succession	接着，紧接着。
