areola		乳晕
protrude		突出
sheen		光辉。shine发光，sheen光泽。slick油滑的，sleek光滑的
recoil		畏缩，后退。re向后。I lean to her slightly, only for her to recoil back with wide eyes.我靠近她一点，她却瞪大眼睛后退了。only for，''但是''。
groggy		酒醉的，迷惑的
visceral		内脏的，发自肺腑的，出于本能的。来自名词viscera内脏。
sentient		有意识知觉的。This book says you're not supposed to be sentient
hubris		傲慢
bidding		命令/投标出价。来自动词形式bid。
vulva		外阴。
labia		阴唇。
clit		阴蒂。
rump		屁股。
pervert		堕落，滥用。
perverted		猥亵的，猥琐的，道德败坏的。猥亵的，扭曲变态的。		
thigh		大腿。词源同thumb，tumid。
reword		改写。rewording名词，改写，说辞。
erect		树立，勃起。
muzzle		枪口，动物的鼻口，口套。
sloppily		懒散的，凌乱的。Her tongue is hot and moist, it's warmth trails from the bottom of my shaft to the tip, sloppily spreading saliva along my length.她的舌头又烫又黏糊糊，这股温暖从我的杆状物的顶端延伸到底端，沿途凌乱地涂满了口水。
saliva		唾液。
shaft		杆状物，轴。
babble		含糊不清地说话。
glans		龟头。
slurp		拟声词，出生地吃/喝。
drool		口水，流口水，胡说，从嘴里淌下。
fervent		热情的，强烈的，热心的。来自fever。
throb		跳动，悸动。
sensational	轰动的，极好的，令人激动的
glee		快乐。
*pant*		喘息。
skirmish		小规模争斗，小冲突，前戏。
sate		满足。satisfy的缩写。
dainty		美味的，娇美的。词源同dignity尊严。脱落。
slink		溜，溜走。同slick，slide。
blind		(瞎的)百叶窗
nuisance		麻烦，讨厌的事。
magnum		大酒瓶。
opus		作品。
magnum opus	代表作，杰作。
anti-climatic	虎头蛇尾的，突然锐减的。直译为反气候的
flaccid		松弛的疲软的。来自flat。
tinker		修补，修焊。拟声词。
pigment		色素，颜色，给xx着色。
denizen		居民，外籍居民。
dabble		涉猎，涉足，溅湿
drastically		彻底的，激烈的。只见于ly形式。
conjure		念咒召唤，提出，施法。
set in		开始，形成。某种情感开始出现。...and fear comes in...=...as fear sets in...
circumvent	绕过，规避。circum-圈，-vent走。
quaint		古雅的，精巧的。
morbid		病态的，恐怖的。来自拉丁语morbus疾病，词源同mortal，murder。
adamant		固执的。a-不。 damant同diamond钻石，坚定的。
tingle		刺痛。拟声词。
hunch		预感， 隆起，弯腰驼背耸肩。
rookie		新手。
shenanigan	恶作剧，花招。
stupendous	惊人的，巨大的精彩的。来自stupid，褒贬发生变化。
giddy		头晕的轻浮的
alchemist		炼金术士。al->all，全能化学家。
seclude		隔离。se-分开，clud关闭。词源同include，close，separate。
savour		滋味，风味。
egalitarianism	平等主义。来自egalite平等。
aurora		罗神，希腊神话黎明女神。
selene		塞涅勒，希腊神话月之女神。
autocratic		独裁的专制的
influx		河流的汇集处，聚集点。Ponytown is the most influx in the land.
jaywalk		乱穿马路。
rung		地位，阶级。
booze		酒。beer，brew的变体。
tsundere		源自日语，傲娇。是一个组合词，由“ツンツン” (tsuntsun) 和“デレデレ” (deredere) 两部分组成：
ツンツン (tsuntsun): 形容冷淡、傲娇、不友善的态度。
デレデレ (deredere): 形容变得柔软、甜蜜、或是对某人表现出极大的好感。
flirt		调情。
covet		觊觎，垂涎。
crux		关键，十字架，难题。
copulate		交配，连接的
monogamy	一夫一妻制。
alleviate		减轻，缓和。al同ad，lev同lever，light，轻。
inseminate	受精。in-semin-ate。
swish		鞭打，刷刷声（拟声词）。I with the problems of my world could be solved with a swish and flick of a wand. 我希望我那个世界的问题也能靠着魔杖一挥一闪就解决了。
huff		生气。
botch		糟蹋，笨拙地修补。
procure		获得，费力取得。pro-向前，cure关切。
ursa		大熊星座
strut		支柱，支撑，趾高气扬。词源同stick。
resent		怨恨。re-表强调，sent-同sence感觉，即强烈的感觉，引申为愤恨。	
cathartic		泻药，通便的，形容学懂后的舒爽的。
daunt		使害怕，恐吓。daunting可怕的。
stiffen		变硬，变粘稠。来自stiff硬的。
arousal		觉醒。
impeccable	无暇的。来自peccable易犯罪的。来自词根pecca-犯罪。peccant犯罪的，peccancy罪过。
stifle		使窒息。she stifles a moan。她压抑住了一声呻吟。
askew		歪斜的。my sence of time is askew。
abrupt		生硬的唐突的
grool		爱液。阴道分泌的润滑液
ravish		=rape，强奸。
accentuate	强调，突出。 the light shimmers over her rump, accentuating the roundness of her bubble butt.光在她的臀部上闪烁，突显出她圆润翘臀的曲线。
indent		印出凹痕。the fur indents when i apply pressure with my fingers.我用指头在她的皮毛上按压出印记。
tuft		 一簇（毛）。some of the tufts of fur are sodden and damp.
sodden		湿透的。
soppy		湿透的.
swollon		肿胀的。swell膨胀的过去分词。
coo		姑姑声，轻声说。
eroge		来自日语，成人色情电子游戏。
erogenous	性感的，唤起性欲的
trajectory		轨道。tra-转移， ject投射， 引申为轨道。
nub		小块，结节。the nub shape of her clit她阴蒂的小突起
dissipate		消散，消失。dis-分开，sip扔。
ooze	[uz]	渗出. there's even some grool oozing out of her.
pry		刺探.
mince		切碎, 矫揉造作地说(把话切碎不一次说完)
friction		摩擦.物理中的f.




















